idwall,username,post_desc,date,post_type
1,your_admirer,crush ko si #69 hihi,2021-11-24 1:00:00,playe
2,ms. kinky,woy handcuff niyo naman kami ni john smith hihi,2021-11-24 1:00:00,playe
3,terra #42,go terra! go! go! gooo!,2021-11-24 0:20:00,playe
4,an ignis hater,you going down ignis!,2021-11-25 0:03:00,playe
5,an ignis lover,Get fired up ignis!,2021-11-25 1:01:00,playe
6,admin,Reminder to pick up your trashes,2021-11-25 1:01:00,admin
7,admin,Ignis vs. Terra (Frisbee). Winner: Terra,2021-11-25 1:01:00,admin
8,admin,Sepak Tekraw is cancelled for today,2021-11-25 1:01:00,admin
10,gg,there is no spoon,2021-11-25 23:17:23,playe
11,crush,pls be mine #42!,2021-11-26 23:23:04,playe
15,hello,meet tayo sa bush,2021-11-26 10:50:48,playe
17,ML id 4344186,tara ml,2021-11-26 7:06:35,playe
18,we're losing,Noooooooooooo :((,2021-11-26 7:07:32,playe
